Respondent_ID,Q1_Age_Group,Q2_Marital_Dependent_Status,Q3_City_Tier,Q4_Financial_Dependents,Q5_Employment_Status,Q6_Monthly_Income,Q7_Income_Stability,Q8_Monthly_Expenditure,Q9_Top_Spending_Categories,Q10_Impulse_Purchase_Frequency,Q11_Spending_Triggers,Q12_Active_Subscriptions,Q13_Statement_Review_Frequency,Q14_Financial_Goals,Q15_Savings_Percentage,Q16_Financial_Challenges,Q17_Financial_Confidence,Q18_Financial_Stress_Level,Q19_Budget_Behavior,Q20_Finance_App_Usage,Q21_Financial_Literacy,Q22_Digital_Comfort_Level,Q23_Preferred_Features,Q24_Willingness_To_Pay,Q25_BudgetLife_Interest,Persona_Tag
R0444,25–34,"Married, with children",Metro (Tier 1),1,Salaried (Private),"₹20,001–₹50,000",Irregular but manageable,"₹50,001–₹1,00,000","Education|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),I rarely spend impulsively,6+,Monthly,Pay Off Debt|Save for Vacation,11–20%,Unexpected Expenses,2 – Slightly confident,4 – Often,"Yes, loosely","Yes, currently using one",3 – Average,Very uncomfortable,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹0 (Free only),Probably Yes,Middle-Income Family Provider
R0445,35–44,Joint family (supporting elders),Tier 3,2,Self-employed,"Below ₹20,000",Very stable (fixed salary),"₹10,001–₹25,000",Education|Groceries & Food|Rent & Housing,Often (6+ times/month),Celebrations or festivals|Social media influence,1–2,Monthly,Build Emergency Fund,0% (No savings),High Cost of Living|No Budgeting Discipline,1 – Not confident at all,4 – Often,"Yes, loosely","Yes, currently using one",3 – Average,Neutral,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Maybe,Gig Worker / Irregular Income
R0446,35–44,"Married, with children",Tier 2,1,Self-employed,"₹50,001–₹1,00,000",Mostly stable with some variation,"₹25,001–₹50,000",Groceries & Food|Rent & Housing|Shopping & Fashion,Often (6+ times/month),"Celebrations or festivals|Flash sales, discounts & offers",6+,Monthly,Invest & Grow Wealth,Above 30%,High Cost of Living|Unexpected Expenses,4 – Very confident,2 – Rarely,"Yes, strictly","No, never used one",5 – Very High,Neutral,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts,₹200–₹499,Definitely Yes,Aspiring Digital-First Millennial
R0447,25–34,"Married, with children",Tier 2,1,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Irregular but manageable,"₹25,001–₹50,000","Entertainment & Dining Out|Groceries & Food|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),Emotional stress or boredom|Social pressure or peer influence,1–2,Quarterly,Build Emergency Fund|Invest & Grow Wealth,21–30%,No Budgeting Discipline|Overspending,4 – Very confident,4 – Often,"No, and I don't plan to","No, never used one",3 – Average,Neutral,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹49–₹99,Probably Yes,Aspiring Digital-First Millennial
R0448,35–44,"Single, no dependents",Metro (Tier 1),3,Salaried (Private),"₹20,001–₹50,000",Irregular but manageable,"₹10,001–₹25,000",Groceries & Food|Rent & Housing,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",3–5,Rarely,Build Emergency Fund,21–30%,High EMIs or Debt|Lack of Financial Knowledge,2 – Slightly confident,4 – Often,"No, but I want to","No, never used one",3 – Average,Somewhat uncomfortable,Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹500+,Definitely Yes,Gig Worker / Irregular Income
R0449,45–54,"Married, with children",Tier 3,1,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Mostly stable with some variation,"₹25,001–₹50,000",EMIs & Loan Repayments|Groceries & Food|Rent & Housing,Often (6+ times/month),"Celebrations or festivals|Flash sales, discounts & offers",None,Monthly,"Children's Education|Pay Off Debt|Save for Major Purchase (Home, Car)",11–20%,High Cost of Living|High EMIs or Debt,3 – Moderately confident,4 – Often,"No, but I want to","No, never used one",3 – Average,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹49–₹99,Definitely No,Middle-Income Family Provider
R0450,25–34,"Married, no children",Metro (Tier 1),0,Salaried (Private),"₹20,001–₹50,000",Very stable (fixed salary),"₹25,001–₹50,000",Entertainment & Dining Out|Groceries & Food,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",1–2,Rarely,Build Emergency Fund|Invest & Grow Wealth,21–30%,No Budgeting Discipline|Overspending,4 – Very confident,3 – Sometimes,"Yes, strictly","No, never used one",5 – Very High,Somewhat comfortable,Subscription & Money Leak Detection,₹100–₹199,Definitely Yes,Young Urban Professional
R0451,25–34,"Married, no children",Tier 3,1,Self-employed,"₹20,001–₹50,000",Mostly stable with some variation,"₹25,001–₹50,000","Entertainment & Dining Out|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),Celebrations or festivals,1–2,Rarely,Build Emergency Fund,11–20%,Low or Irregular Income|Unexpected Expenses,2 – Slightly confident,4 – Often,"Yes, loosely","Yes, currently using one",3 – Average,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹200–₹499,Probably No,Gig Worker / Irregular Income
R0452,25–34,"Married, with children",Tier 3,3,Self-employed,"₹20,001–₹50,000",Irregular but manageable,"₹10,001–₹25,000",Education,Never,"Convenience (food delivery, cabs, etc.)|I rarely spend impulsively",3–5,Quarterly,"Children's Education|Retirement Planning|Save for Major Purchase (Home, Car)",21–30%,Lack of Financial Knowledge,3 – Moderately confident,4 – Often,"No, but I want to",Used before but stopped,5 – Very High,Neutral,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹0 (Free only),Probably Yes,Small Town Conservative Saver
R0453,25–34,Joint family (supporting elders),Metro (Tier 1),3,Salaried (Private),"₹20,001–₹50,000",Mostly stable with some variation,"₹50,001–₹1,00,000",Education|Groceries & Food|Rent & Housing,Sometimes (3–5 times/month),Celebrations or festivals,3–5,Monthly,Pay Off Debt,11–20%,High Cost of Living|Low or Irregular Income,5 – Extremely confident,4 – Often,"Yes, strictly",Used before but stopped,1 – Very Low,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹49–₹99,Maybe,Middle-Income Family Provider
R0454,55+,"Married, with children",Metro (Tier 1),2,Freelancer or Gig Worker,"₹20,001–₹50,000",Mostly stable with some variation,"₹10,001–₹25,000",Groceries & Food,Never,I rarely spend impulsively,1–2,Rarely,No Specific Goal,21–30%,No Budgeting Discipline|Unexpected Expenses,4 – Very confident,3 – Sometimes,"Yes, strictly","No, never used one",3 – Average,Neutral,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹0 (Free only),Definitely No,Retired / Senior Citizen
R0455,25–34,"Married, with children",Metro (Tier 1),1,Student,"₹50,001–₹1,00,000",Irregular but manageable,"₹25,001–₹50,000",Shopping & Fashion,Rarely (1–2 times/month),"Flash sales, discounts & offers|Social media influence",1–2,Weekly,Build Emergency Fund|Invest & Grow Wealth|Pay Off Debt,21–30%,No Budgeting Discipline|Overspending,5 – Extremely confident,5 – Almost always,"No, and I don't plan to","No, never used one",4 – High,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Probably Yes,Young Urban Professional
R0456,35–44,"Married, with children",Metro (Tier 1),4+,Salaried (Government),"₹20,001–₹50,000",Very stable (fixed salary),"₹10,001–₹25,000","EMIs & Loan Repayments|Education|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),Celebrations or festivals,3–5,Quarterly,Build Emergency Fund|Invest & Grow Wealth,1–10%,High Cost of Living|No Budgeting Discipline,4 – Very confident,3 – Sometimes,"Yes, loosely","No, never used one",3 – Average,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts,₹200–₹499,Probably Yes,Middle-Income Family Provider
R0457,25–34,"Married, no children",Tier 2,0,Freelancer or Gig Worker,"Above ₹2,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000","Healthcare|Subscriptions (OTT, Gym, etc.)|Transportation",Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",3–5,Monthly,Retirement Planning,21–30%,No Budgeting Discipline|Overspending,3 – Moderately confident,4 – Often,"No, but I want to","Yes, currently using one",3 – Average,Neutral,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹100–₹199,Maybe,Young Urban Professional
R0458,25–34,"Single, with dependents",Tier 3,2,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"₹25,001–₹50,000",Education|Groceries & Food|Rent & Housing,Often (6+ times/month),Emotional stress or boredom|Social pressure or peer influence,1–2,Rarely,Pay Off Debt,11–20%,High Cost of Living|Unexpected Expenses,5 – Extremely confident,1 – Never,"Yes, strictly","No, never used one",5 – Very High,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine,₹100–₹199,Definitely Yes,Middle-Income Family Provider
R0459,25–34,"Single, no dependents",Tier 2,1,Student,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹25,001–₹50,000",Healthcare|Shopping & Fashion,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)",1–2,Rarely,Build Emergency Fund|Invest & Grow Wealth|Save for Vacation,11–20%,High Cost of Living,4 – Very confident,1 – Never,"Yes, strictly",Used before but stopped,5 – Very High,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Definitely Yes,Young Urban Professional
R0460,35–44,"Married, with children",Metro (Tier 1),1,Salaried (Government),"₹20,001–₹50,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Entertainment & Dining Out|Rent & Housing|Shopping & Fashion,Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",3–5,Quarterly,Build Emergency Fund|Children's Education|Invest & Grow Wealth,1–10%,No Budgeting Discipline|Overspending,4 – Very confident,2 – Rarely,"Yes, loosely",Used before but stopped,4 – High,Neutral,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹0 (Free only),Probably No,Young Urban Professional
R0461,25–34,"Married, no children",Tier 2,2,Salaried (Private),"₹20,001–₹50,000",Very stable (fixed salary),"₹50,001–₹1,00,000","Groceries & Food|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),Social media influence|Social pressure or peer influence,1–2,Monthly,Invest & Grow Wealth,1–10%,High EMIs or Debt,5 – Extremely confident,2 – Rarely,"No, but I want to","Yes, currently using one",4 – High,Somewhat comfortable,Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Probably Yes,Young Urban Professional
R0462,35–44,Joint family (supporting elders),Rural,2,Self-employed,"₹20,001–₹50,000",Mostly stable with some variation,"Below ₹10,000",EMIs & Loan Repayments,Sometimes (3–5 times/month),"Celebrations or festivals|Convenience (food delivery, cabs, etc.)",1–2,Weekly,Retirement Planning,11–20%,Lack of Financial Knowledge,3 – Moderately confident,3 – Sometimes,"Yes, strictly","No, never used one",3 – Average,Somewhat uncomfortable,Financial Health Score with Peer Benchmarking,₹0 (Free only),Definitely No,Small Town Conservative Saver
R0463,25–34,"Married, with children",Rural,1,Self-employed,"Below ₹20,000",Highly unpredictable,"₹10,001–₹25,000",Transportation,Rarely (1–2 times/month),Emotional stress or boredom,1–2,Monthly,Build Emergency Fund,0% (No savings),High Cost of Living|High EMIs or Debt,4 – Very confident,5 – Almost always,"No, but I want to","No, never used one",3 – Average,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹49–₹99,Maybe,Gig Worker / Irregular Income
R0464,35–44,"Married, with children",Tier 3,2,Student,"Below ₹20,000",Highly unpredictable,"₹25,001–₹50,000",Education,Rarely (1–2 times/month),I rarely spend impulsively,1–2,Monthly,Retirement Planning,21–30%,Lack of Financial Knowledge,5 – Extremely confident,4 – Often,"Yes, loosely","No, never used one",3 – Average,Very uncomfortable,AI Savings Recommendations & Goal Engine,₹200–₹499,Maybe,Small Town Conservative Saver
R0465,18–24,"Married, with children",Tier 2,3,Freelancer or Gig Worker,"₹20,001–₹50,000",Very stable (fixed salary),"₹25,001–₹50,000",Groceries & Food|Rent & Housing|Transportation,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)",1–2,Weekly,Invest & Grow Wealth|Save for Vacation,21–30%,Low or Irregular Income|Overspending,2 – Slightly confident,4 – Often,"No, but I want to","No, never used one",1 – Very Low,Very comfortable,AI Savings Recommendations & Goal Engine,₹100–₹199,Maybe,Aspiring Digital-First Millennial
R0466,35–44,"Married, with children",Tier 2,4+,Salaried (Private),"₹1,00,001–₹2,00,000",Mostly stable with some variation,"₹25,001–₹50,000",Groceries & Food,Sometimes (3–5 times/month),"Emotional stress or boredom|Flash sales, discounts & offers",6+,Monthly,Build Emergency Fund|Children's Education|Pay Off Debt,11–20%,High Cost of Living|Unexpected Expenses,2 – Slightly confident,3 – Sometimes,"No, but I want to","No, never used one",4 – High,Neutral,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹200–₹499,Probably Yes,Middle-Income Family Provider
R0467,18–24,"Married, with children",Metro (Tier 1),1,Freelancer or Gig Worker,"Below ₹20,000",Mostly stable with some variation,"Below ₹10,000",Education|Entertainment & Dining Out|Transportation,Often (6+ times/month),Celebrations or festivals|Emotional stress or boredom,3–5,Rarely,Pay Off Debt|Save for Vacation,1–10%,High Cost of Living|Low or Irregular Income,3 – Moderately confident,3 – Sometimes,"Yes, loosely",Used before but stopped,3 – Average,Very comfortable,Financial Health Score with Peer Benchmarking,₹0 (Free only),Probably Yes,College Student / Early Career
R0468,55+,"Married, with children",Tier 3,3,Retired,"Below ₹20,000",Mostly stable with some variation,"₹10,001–₹25,000",Healthcare,Rarely (1–2 times/month),Emotional stress or boredom|I rarely spend impulsively,None,Monthly,Build Emergency Fund|No Specific Goal,Above 30%,No Budgeting Discipline|Unexpected Expenses,2 – Slightly confident,3 – Sometimes,"Yes, strictly","No, never used one",3 – Average,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine,₹0 (Free only),Definitely No,Retired / Senior Citizen
R0469,18–24,"Single, no dependents",Tier 2,0,Freelancer or Gig Worker,"₹20,001–₹50,000",Very stable (fixed salary),"₹10,001–₹25,000",Education|Rent & Housing,Sometimes (3–5 times/month),"Flash sales, discounts & offers",3–5,Never,"Save for Major Purchase (Home, Car)",11–20%,Low or Irregular Income,2 – Slightly confident,4 – Often,"No, but I want to","No, never used one",4 – High,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹49–₹99,Maybe,College Student / Early Career
R0470,25–34,"Single, no dependents",Metro (Tier 1),0,Salaried (Private),"Above ₹2,00,000",Irregular but manageable,"₹25,001–₹50,000","Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)|Transportation",Rarely (1–2 times/month),"Flash sales, discounts & offers",6+,Quarterly,Invest & Grow Wealth|Retirement Planning,21–30%,High EMIs or Debt|No Budgeting Discipline,3 – Moderately confident,3 – Sometimes,"Yes, loosely","No, never used one",2 – Low,Very comfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹100–₹199,Definitely Yes,Aspiring Digital-First Millennial
R0471,25–34,"Married, with children",Tier 3,3,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹25,001–₹50,000",EMIs & Loan Repayments|Rent & Housing|Shopping & Fashion,Never,Social media influence,3–5,Rarely,Build Emergency Fund,Above 30%,High Cost of Living,5 – Extremely confident,1 – Never,"No, but I want to",Used before but stopped,5 – Very High,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine,₹500+,Probably No,Young Urban Professional
R0472,35–44,"Single, no dependents",Tier 2,0,Freelancer or Gig Worker,"₹20,001–₹50,000",Mostly stable with some variation,"₹10,001–₹25,000",Entertainment & Dining Out|Groceries & Food|Rent & Housing,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",3–5,Weekly,Invest & Grow Wealth,Above 30%,No Budgeting Discipline|Overspending,5 – Extremely confident,4 – Often,"No, but I want to","No, never used one",5 – Very High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Subscription & Money Leak Detection,₹100–₹199,Probably No,Aspiring Digital-First Millennial
R0473,35–44,"Married, with children",Metro (Tier 1),1,Self-employed,"₹50,001–₹1,00,000",Mostly stable with some variation,"₹25,001–₹50,000",Rent & Housing|Shopping & Fashion|Transportation,Often (6+ times/month),Celebrations or festivals,1–2,Weekly,"Children's Education|Pay Off Debt|Save for Major Purchase (Home, Car)",Above 30%,Unexpected Expenses,3 – Moderately confident,1 – Never,"No, but I want to","Yes, currently using one",4 – High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Probably Yes,Young Urban Professional
R0474,55+,Joint family (supporting elders),Metro (Tier 1),4+,Salaried (Government),"₹1,00,001–₹2,00,000",Irregular but manageable,"Below ₹10,000",Groceries & Food|Healthcare|Shopping & Fashion,Sometimes (3–5 times/month),I rarely spend impulsively,None,Never,Children's Education|No Specific Goal,11–20%,High EMIs or Debt|Lack of Financial Knowledge,4 – Very confident,2 – Rarely,"No, and I don't plan to","No, never used one",2 – Low,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Probably Yes,Retired / Senior Citizen
R0475,45–54,"Married, with children",Rural,4+,Salaried (Private),"Above ₹2,00,000",Mostly stable with some variation,"₹10,001–₹25,000",EMIs & Loan Repayments|Education|Groceries & Food,Sometimes (3–5 times/month),Social pressure or peer influence,1–2,Rarely,Children's Education|Pay Off Debt,21–30%,High EMIs or Debt|Overspending,5 – Extremely confident,4 – Often,"Yes, loosely","No, never used one",5 – Very High,Somewhat uncomfortable,Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Definitely No,Small Town Conservative Saver
R0476,35–44,"Married, no children",Metro (Tier 1),0,Self-employed,"₹50,001–₹1,00,000",Highly unpredictable,"₹25,001–₹50,000",Other|Transportation,Never,I rarely spend impulsively,1–2,Monthly,Save for Vacation,1–10%,Overspending,5 – Extremely confident,4 – Often,"No, and I don't plan to","No, never used one",4 – High,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine,₹500+,Probably No,Aspiring Digital-First Millennial
R0477,35–44,"Single, no dependents",Metro (Tier 1),1,Salaried (Private),"Above ₹2,00,000",Very stable (fixed salary),"Above ₹1,00,000","Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),Social pressure or peer influence,6+,Quarterly,"Build Emergency Fund|Invest & Grow Wealth|Save for Major Purchase (Home, Car)",21–30%,No Budgeting Discipline,3 – Moderately confident,4 – Often,"No, but I want to","No, never used one",4 – High,Very comfortable,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹0 (Free only),Probably Yes,Young Urban Professional
R0478,25–34,"Married, with children",Tier 3,4+,Self-employed,"₹50,001–₹1,00,000",Highly unpredictable,"₹25,001–₹50,000",Groceries & Food|Rent & Housing,Rarely (1–2 times/month),Celebrations or festivals,None,Monthly,"Build Emergency Fund|No Specific Goal|Save for Major Purchase (Home, Car)",11–20%,High EMIs or Debt,3 – Moderately confident,4 – Often,"Yes, strictly","No, never used one",4 – High,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Maybe,Small Town Conservative Saver
R0479,25–34,"Married, with children",Metro (Tier 1),1,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹10,001–₹25,000","Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),Social media influence,3–5,Monthly,Build Emergency Fund|Invest & Grow Wealth,21–30%,High EMIs or Debt|Lack of Financial Knowledge,4 – Very confident,3 – Sometimes,"No, and I don't plan to","No, never used one",4 – High,Somewhat comfortable,Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Probably Yes,Aspiring Digital-First Millennial
R0480,45–54,"Single, with dependents",Metro (Tier 1),2,Retired,"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000","Rent & Housing|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",3–5,Quarterly,Build Emergency Fund|Pay Off Debt|Retirement Planning,11–20%,High EMIs or Debt|No Budgeting Discipline,3 – Moderately confident,5 – Almost always,"No, but I want to","No, never used one",3 – Average,Very uncomfortable,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹0 (Free only),Probably Yes,Middle-Income Family Provider
R0481,55+,"Married, with children",Rural,3,Retired,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹25,001–₹50,000",Education|Groceries & Food|Shopping & Fashion,Never,"Flash sales, discounts & offers|I rarely spend impulsively",1–2,Quarterly,Children's Education,21–30%,Overspending|Unexpected Expenses,4 – Very confident,4 – Often,"No, and I don't plan to","No, never used one",3 – Average,Very uncomfortable,Automatic Expense Tracking & Smart Categorization,₹49–₹99,Definitely No,Small Town Conservative Saver
R0482,25–34,"Married, no children",Tier 2,3,Salaried (Private),"Above ₹2,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Other|Shopping & Fashion|Transportation,Never,Celebrations or festivals,6+,Rarely,Invest & Grow Wealth|Save for Vacation,1–10%,No Budgeting Discipline|Overspending,4 – Very confident,2 – Rarely,"Yes, loosely","No, never used one",4 – High,Very comfortable,Subscription & Money Leak Detection,₹100–₹199,Maybe,High-Income Low-Awareness Spender
R0483,25–34,"Single, with dependents",Tier 3,4+,Salaried (Government),"₹20,001–₹50,000",Mostly stable with some variation,"₹25,001–₹50,000",EMIs & Loan Repayments|Entertainment & Dining Out|Groceries & Food,Rarely (1–2 times/month),I rarely spend impulsively,3–5,Monthly,Children's Education,11–20%,High Cost of Living|Unexpected Expenses,4 – Very confident,4 – Often,"Yes, strictly","No, never used one",2 – Low,Very uncomfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹0 (Free only),Definitely No,Middle-Income Family Provider
R0484,35–44,Joint family (supporting elders),Tier 3,3,Salaried (Government),"₹20,001–₹50,000",Mostly stable with some variation,"Below ₹10,000",Education|Groceries & Food|Rent & Housing,Rarely (1–2 times/month),Social pressure or peer influence,1–2,Weekly,No Specific Goal|Save for Vacation,Above 30%,High EMIs or Debt|Unexpected Expenses,5 – Extremely confident,1 – Never,"Yes, strictly","No, never used one",2 – Low,Very uncomfortable,Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Maybe,Small Town Conservative Saver
R0485,45–54,"Married, with children",Tier 2,3,Salaried (Government),"₹20,001–₹50,000",Mostly stable with some variation,"Below ₹10,000",Education|Groceries & Food|Healthcare,Sometimes (3–5 times/month),Emotional stress or boredom|I rarely spend impulsively,1–2,Rarely,Build Emergency Fund|No Specific Goal,21–30%,Unexpected Expenses,4 – Very confident,3 – Sometimes,"Yes, loosely","No, never used one",3 – Average,Very uncomfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹100–₹199,Probably Yes,Small Town Conservative Saver
R0486,55+,Joint family (supporting elders),Metro (Tier 1),3,Retired,"Above ₹2,00,000",Very stable (fixed salary),"Below ₹10,000",Entertainment & Dining Out|Groceries & Food|Other,Never,I rarely spend impulsively,None,Monthly,Invest & Grow Wealth|No Specific Goal,1–10%,Unexpected Expenses,3 – Moderately confident,5 – Almost always,"Yes, strictly","No, never used one",4 – High,Very uncomfortable,Predictive Budget Alerts & Spending Forecasts,₹200–₹499,Definitely No,Retired / Senior Citizen
R0487,25–34,"Married, no children",Metro (Tier 1),2,Salaried (Government),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"Above ₹1,00,000",Entertainment & Dining Out|Groceries & Food,Sometimes (3–5 times/month),Social pressure or peer influence,1–2,Quarterly,Build Emergency Fund|Invest & Grow Wealth,1–10%,High EMIs or Debt|No Budgeting Discipline,2 – Slightly confident,3 – Sometimes,"No, but I want to","Yes, currently using one",3 – Average,Very uncomfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Maybe,Young Urban Professional
R0488,25–34,"Single, no dependents",Rural,0,Student,"Below ₹20,000",Mostly stable with some variation,"₹25,001–₹50,000",Entertainment & Dining Out|Rent & Housing,Sometimes (3–5 times/month),"Celebrations or festivals|Convenience (food delivery, cabs, etc.)",6+,Rarely,Save for Vacation,21–30%,High Cost of Living|Low or Irregular Income,5 – Extremely confident,3 – Sometimes,"No, but I want to","No, never used one",2 – Low,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Probably No,College Student / Early Career
R0489,25–34,"Single, no dependents",Metro (Tier 1),0,Salaried (Private),"Below ₹20,000",Mostly stable with some variation,"₹25,001–₹50,000",Entertainment & Dining Out|Groceries & Food|Transportation,Rarely (1–2 times/month),Emotional stress or boredom,3–5,Rarely,Build Emergency Fund|Pay Off Debt,11–20%,No Budgeting Discipline,5 – Extremely confident,4 – Often,"Yes, strictly",Used before but stopped,4 – High,Neutral,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Definitely No,Aspiring Digital-First Millennial
R0490,55+,"Married, with children",Metro (Tier 1),3,Self-employed,"Below ₹20,000",Mostly stable with some variation,"₹10,001–₹25,000","Healthcare|Other|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),Celebrations or festivals,None,Monthly,Children's Education,1–10%,Overspending|Unexpected Expenses,3 – Moderately confident,5 – Almost always,"Yes, strictly","No, never used one",2 – Low,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Definitely No,Retired / Senior Citizen
R0491,25–34,"Married, with children",Metro (Tier 1),2,Salaried (Private),"₹1,00,001–₹2,00,000",Highly unpredictable,"₹25,001–₹50,000","EMIs & Loan Repayments|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Flash sales, discounts & offers",6+,Never,Invest & Grow Wealth,1–10%,Overspending|Unexpected Expenses,4 – Very confident,3 – Sometimes,"No, but I want to","No, never used one",5 – Very High,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹200–₹499,Probably Yes,Middle-Income Family Provider
R0492,25–34,Joint family (supporting elders),Tier 2,2,Self-employed,"₹1,00,001–₹2,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000",Education|Groceries & Food,Never,I rarely spend impulsively,None,Rarely,"Invest & Grow Wealth|No Specific Goal|Save for Major Purchase (Home, Car)",1–10%,Low or Irregular Income,3 – Moderately confident,1 – Never,"Yes, loosely","No, never used one",4 – High,Very uncomfortable,Automatic Expense Tracking & Smart Categorization,₹200–₹499,Definitely No,Small Town Conservative Saver
